c_schoolname,district,areacode,address,date
私立佳優點文理短期補習班,八里區,65000230,中山路2段225號1樓及227號1樓,45047
私立青子園文理短期補習班,八里區,65000230,中山路2段283號1、2樓,44413
私立心領袖文理短期補習班,八里區,65000230,中華路2段556號1樓,44118
私立邱吉爾文理短期補習班,八里區,65000230,中山路2段366號3樓之1,43885
私立文化13文理短期補習班,八里區,65000230,龍形二街2之1號3樓,42556
私立格爾語文文理短期補習班,八里區,65000230,中山路2段213號1、2樓,41836
私立昕典音樂短期補習班,八里區,65000230,華峰一街20號1樓,41680
私立邁克司文理短期補習班,八里區,65000230,中山路2段366號3樓,41570
私立玩音樂音樂語文短期補習班,八里區,65000230,中山路2段171號2樓,41328
私立晉昇文理語文短期補習班,八里區,65000230,中山路2段326號1樓,41046
私立快樂芝麻語文短期補習班,八里區,65000230,龍米路三段38號3樓,41040
私立毅丞文理短期補習班,八里區,65000230,中山路2段259號1、2樓、261號2樓、263號2樓,40848
私立邁克斯文理語文短期補習班,八里區,65000230,中山路2段406巷19號1、2樓,40795
私立有桐文理美術短期補習班,八里區,65000230,龍行二街3巷2號2樓,39127
私立佳優文理語文短期補習班,八里區,65000230,中山路2段227號2樓,39255
兩岸心動力國際教育文化有限公司附設私立愛智塾文理短期補習班,八里區,65000230,中山路1段53號,38737
私立瀚敦文理短期補習班,八里區,65000230,中華路2段308巷10號(1樓),38688
私立小精靈文理語文短期補習班,八里區,65000230,中華路2段308巷6弄7號1樓,38456
私立大楊老師文理語文短期補習班,八里區,65000230,中華路二段302號2樓,38329
私立進益文理短期補習班,八里區,65000230,中山路2段412號1樓,37137
私立聖讀文理語文短期補習班,八里區,65000230,"忠七街20 號1 2樓",38177
私立佳泓珠心算美語文理短期補習班,八里區,65000230,中山路2段540巷9弄5號1樓,38119
私立洋名文理短期補習班,三芝區,65000210,長勤街11號1、2樓,44909
私立巧思菓文理短期補習班,三芝區,65000210,中正路1段100號(1、2樓),43693
私立凱宸文理短期補習班,三芝區,65000210,智成街7號(1樓),43350
私立洋明文理短期補習班,三芝區,65000210,中正路1段43號2樓,43014
私立裕仁文理語文短期補習班,三芝區,65000210,中正路1段110之1號1、2樓,41199
私立瑞笛文理技藝短期補習班,三芝區,65000210,中正路1段72號3、4樓,40473
私立學承文理技藝短期補習班,三芝區,65000210,中正路1段104號1、2樓,39394
私立陽光生活美語短期補習班,三芝區,65000210,中正路1段18巷48、50號,38799
私立敦璦文理語文短期補習班,三芝區,65000210,長春街2之1號、10(由8、10號門牌合併)、12號(各1樓),38768
私立敦品文理語文短期補習班,三芝區,65000210,中山路1段29號1、2樓,37830
私立華一正德技藝短期補習班,三芝區,65000210,公正街66號1、2樓,37077
私立名哲股份有限公司附設富群文理技藝短期補習班,三重區,65000020,朝陽街1號4樓,44965
私立奧創文理短期補習班,三重區,65000020,集賢路161號1、2樓,45341
私立翊誠文理短期補習班,三重區,65000020,忠孝路3段8號2樓,45337
鼎仁文教有限公司附設私立鼎仁文理短期補習班,三重區,65000020,三賢街71號(1層及夾層),45288
新寰國際教育股份有限公司附設私立新寰宇國際文理技藝短期補習班,三重區,65000020,集英路69號(1、2層),45244
私立愛學館集賢校文理短期補習班,三重區,65000020,集賢路191號(1樓及夾層),45222
捷登領袖文理短期補習班,三重區,65000020,溪尾街107號2樓,45168
私立治合文理短期補習班,三重區,65000020,"三信路128號1樓及夾層	",45106
私立明師文理短期補習班,三重區,65000020,仁愛街743號,45092
私立延平文理技藝短期補習班,三重區,65000020,溪尾街316號,45048
私立艾淼爾文理短期補習班,三重區,65000020,仁愛街511號2樓,44945
私立張皓威文理短期補習班,三重區,65000020,五華街131號2樓,44873
私立喬安Joan文理短期補習班,三重區,65000020,自強路5段64號2樓,44853
私立木可藝術技藝短期補習班,三重區,65000020,光明路67之6號1樓,44776
私立翊華五華文理技藝短期補習班,三重區,65000020,五華街200號1樓及夾層,44761
私立東創教育有限公司附設丹尼文理短期補習班,三重區,65000020,集英路31號、37號1樓及夾層,44732
享學教育管理顧問股份有限公司附設私立享學成文理技藝短期補習班,三重區,65000020,集賢路122號(1層及夾層),44601
私立裔國藝術設計有限公司附設喬藝術空間技藝短期補習班,三重區,65000020,重陽路1段69號2樓,44510
私立宏偉文化有限公司附設宏煒文理短期補習班,三重區,65000020,正義北路288號2、3樓,44502
私立森文理短期補習班,三重區,65000020,三信路118號1樓,44435
私立橋夫文理短期補習班,三重區,65000020,慈愛街1號2樓、3號2樓、7號1、2樓,44428
私立圓點文理短期補習班,三重區,65000020,仁義街399號2樓,44412
私立敦翰文理短期補習班,三重區,65000020,重陽路3段130號4樓之1,44407
私立張豪文理短期補習班,三重區,65000020,集賢路1號1樓,44298
私立斯塔美語文理短期補習班,三重區,65000020,仁義街395號1樓,44259
私立三和文理短期補習班,三重區,65000020,自強路3段89號2樓,44165
私立壹鳴文理短期補習班,三重區,65000020,進安街196、198號(各1樓及夾層),44130
私立大理文理技藝短期補習班,三重區,65000020,大同北路148巷31號1、2樓,44127
私立湜憶電腦知訊顧問股份有限公司附設馨智能技術技藝短期補習班,三重區,65000020,重新路4段12號6樓之1,44047
私立曾立文理短期補習班,三重區,65000020,大仁街48巷64號(1、2樓),44014
私立貝斯特文理短期補習班,三重區,65000020,重新路4段98號3樓,44013
私立揚易文理短期補習班,三重區,65000020,正義北路119號2樓、2樓之1、2樓之2,44000
私立軒宇文理技藝短期補習班,三重區,65000020,重新路5段489號(1樓),43999
私立萊珈文理短期補習班,三重區,65000020,大同南路232之2號(1樓),43990
私立安尼爾仁政文理短期補習班,三重區,65000020,仁政街107之2號(1樓),43985
私立重興文理短期補習班,三重區,65000020,重新路2段23號4樓,43951
私立徐鴻文理短期補習班,三重區,65000020,信賢街25號(1樓),43902
私立丞評文理短期補習班,三重區,65000020,力行路1段179巷9號2樓,43893
私立智英文理短期補習班,三重區,65000020,正義北路302巷35號2樓,43826
私立小丑魚文理技藝短期補習班,三重區,65000020,力行路1段161號1樓,43810
私立德銘文理短期補習班,三重區,65000020,三民街143號2樓、2樓之2,43810
私立宥寶文理短期補習班,三重區,65000020,下竹圍街5號(1、2樓),43718
私立加州森林文理技藝短期補習班,三重區,65000020,三信路100號4樓,43676
私立碩仁文理短期補習班,三重區,65000020,集成路39號2樓,43532
私立躍翰文理短期補習班,三重區,65000020,六張街99號(1樓),43510
私立學霸文理短期補習班,三重區,65000020,大榮街2號(2樓),43510
私立心田優遊學園文理短期補習班,三重區,65000020,慈愛街5號(1、2樓),43496
私立安墾文理短期補習班,三重區,65000020,正義北路297號1、2樓,43488
私立快樂陽光文理短期補習班,三重區,65000020,忠孝路1段45巷1號1樓、3號1樓,43423
私立翊華集賢文理技藝短期補習班,三重區,65000020,集賢路181號4樓,43398
私立三民唐吉君文理短期補習班,三重區,65000020,三民街124號1、2樓,43283
私立翊芊文理短期補習班,三重區,65000020,永福街62號2樓,43187
私立忠孝快樂學堂文理短期補習班,三重區,65000020,中正北路145巷8弄4號1樓,43181
私立強森文理短期補習班,三重區,65000020,三民街202號(1樓),42971
私立康和文理技藝短期補習班,三重區,65000020,碧華街280號1樓,42786
私立桔子美術短期補習班,三重區,65000020,文化北路4之2號(1樓),42775
私立建兒樂語文美術珠心算短期補習班,三重區,65000020,大智街155號1樓,37343
私立吳非文理短期補習班,三重區,65000020,三民街300巷8弄14號1樓,42726
私立愛箂兒文理技藝短期補習班,三重區,65000020,集美街123號2樓,42724
私立英龍文理短期補習班,三重區,65000020,三賢街17號(1樓及夾層),42718
私立夏綠蒂皇家文理技藝短期補習班,三重區,65000020,五華街7巷12號2樓、14號2樓、21巷13號5、6、7樓、15號5、6、7樓,42691
私立自強電機技藝短期補習班,三重區,65000020,中央南路51號3樓,42635
私立德瑄文理語文短期補習班,三重區,65000020,重新路4段98號5樓之1,42600
私立樂獅文理語文短期補習班,三重區,65000020,進安街190、192號(各1樓),42571
